Time,N,Hilos,Inicio,Fin,Max_Consumo_Memoria,PorCiento_Uso_Memoria,Promedio_PorCiento_Uso_Proc,Max_PorCiento_Uso_Proc,Promedio_Temp,Max_Temp,Promedio_Frecuencia_Proc,Max_Frecuencia,Nucleos,Tipo_Procesador_Intel(R) Core(TM) i7-3930K,Tipo_Procesador_Intel(R) Core(TM) i7-4930K,Tipo_Procesador_Intel(R) Core(TM) i7-8700,Tipo_Memoria_DDR3,Tipo_Memoria_DDR4,Tipo_Disco_HDD,ESTRATEGIA_OMP_NO_RECURSIVO
-0.5806399003875184,-1.2342406878516896,0.7236862197547208,2022-07-29 22:47:53.875,2022-07-29 22:47:58.535,54588,-0.9383112686910838,64.675,74.7,-1.3090481737474315,-1.4204186245494363,-0.5397591583871008,-1.0243743484558931,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5798996377085968,-1.2342406878516896,1.0128817603957685,2022-07-29 22:47:58.535,2022-07-29 22:48:03.375,54844,-0.9383112686910838,73.2444444444444,83.4,-1.264792539978173,-1.2762824753313053,-0.4750591253069088,-1.0243241682761615,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5798987122420424,-1.2342406878516896,1.3020773010368163,2022-07-29 22:48:03.375,2022-07-29 22:48:08.216,54980,-0.9383112686910838,81.02,91.3,-1.2149043710019312,-1.2762824753313053,-0.4412669521220175,-1.0243241682761615,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5801094114925862,-1.2342406878516896,1.5912728416778639,2022-07-29 22:48:08.216,2022-07-29 22:48:13.005,54200,-0.9383112686910838,98.1833333333333,98.5,-1.2969784554467314,-1.4204186245494363,-0.4412691013867643,-1.0243492583660267,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.48405865302998347,-1.2342406878516896,-1.589878105373661,2022-07-29 22:48:13.005,2022-07-29 22:48:41.249,55112,-0.9383112686910838,8.01186440677965,8.3,-1.711031164609907,-1.4204186245494363,-2.2784808242051584,-1.0243241682761615,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5420978096989046,-1.2342406878516896,-1.3006825647326132,2022-07-29 22:48:41.249,2022-07-29 22:48:55.321,54736,-0.9383112686910838,16.3769230769231,16.9,-1.8131910227691899,-1.852827072203829,-2.0477667950776257,-2.237731094369902,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5613535254677853,-1.2342406878516896,-1.0114870240915657,2022-07-29 22:48:55.321,2022-07-29 22:49:04.690,54656,-0.9383112686910838,24.3705882352941,25.0,-1.9246038070833964,-1.99696322142196,-1.5566673375567757,-1.6508989824968097,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.570977964039956,-1.2342406878516896,-0.7222914834505179,2022-07-29 22:49:04.690,2022-07-29 22:49:11.709,54376,-0.9383112686910838,32.8923076923077,33.3,-1.7797671874749341,-1.852827072203829,-1.3681535761242454,-1.3795496605973054,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5767291326177313,-1.2342406878516896,-0.4330959428094701,2022-07-29 22:49:11.709,2022-07-29 22:49:17.323,54984,-0.9383112686910838,40.6166666666667,41.6,-1.5383728214608254,-1.7086909229856981,-1.1741343498583998,-1.107823987349813,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5804380135441651,-1.2342406878516896,-0.1439004021684224,2022-07-29 22:49:17.323,2022-07-29 22:49:22.032,54676,-0.9383112686910838,49.675,50.0,-1.3452573286495473,-1.4204186245494363,-0.5597795594991171,-1.0230947538727326,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5753556829212335,-1.2342406878516896,0.14529513847262532,2022-07-29 22:49:22.032,2022-07-29 22:49:27.982,54728,-0.9383112686910838,42.9545454545455,58.2,-1.3320903632305943,-1.2762824753313053,-0.7538181116128808,-1.023395834951123,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5783540020931659,-1.2342406878516896,0.43449067911367306,2022-07-29 22:49:27.982,2022-07-29 22:49:33.200,54392,-0.9383112686910838,52.65,66.3,-1.3452573286495473,-1.4204186245494363,-0.5593926918447789,-0.7932193505215305,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5805872593585067,-1.2342406878516896,0.7236862197547208,2022-07-29 22:49:33.200,2022-07-29 22:49:37.872,54212,-0.9383112686910838,65.8333333333333,75.0,-1.216513666775357,-1.2762824753313053,-0.44916526125756995,-1.024098357467368,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5799278767234598,-1.2342406878516896,1.0128817603957685,2022-07-29 22:49:37.872,2022-07-29 22:49:42.705,54972,-0.9383112686910838,69.01,83.4,-1.2004207090410848,-1.2762824753313053,-0.5468431349909881,-1.0236969160295144,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5804837709038054,-1.2342406878516896,1.3020773010368163,2022-07-29 22:49:42.705,2022-07-29 22:49:47.403,54140,-0.9383112686910838,86.1,91.7,-1.1424860611977,-1.1321463261131743,-0.441262653592525,-1.0243492583660267,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.5800272005786664,-1.2342406878516896,1.5912728416778639,2022-07-29 22:49:47.403,2022-07-29 22:49:52.212,54628,-0.9383112686910838,88.6571428571429,98.5,-1.2004207090410848,-1.2762824753313053,-0.47200819282651746,-1.0243492583660267,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.2931210085765544,-0.8844817098752973,-1.589878105373661,2022-07-29 22:49:52.237,2022-07-29 22:51:07.109,96116,-0.5507143487787599,7.97600000000002,8.3,-2.494294510876677,-1.852827072203829,-2.1632763505543173,-1.275425787653899,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-0.4473784659143006,-0.8844817098752973,-1.3006825647326132,2022-07-29 22:51:07.109,2022-07-29 22:51:44.311,95660,-0.5507143487787599,16.3191780821918,16.8,-2.283719261181088,-1.99696322142196,-1.889001321668488,-1.7352769547157667,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
